id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
ee487943-e36d-4146-8e2e-b7a9a1fd3067,0,"BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE",ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,"The BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE (Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology) plays a central and authoritative role in the development and execution of the ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE (Austrian Photovoltaic Strategy). As the primary government body responsible for climate policy, environmental protection, sustainable energy, and technological innovation in Austria, the Ministry acts as the publisher, owner, and principal driver behind the Photovoltaic Strategy. It is tasked with formulating, publishing, and actively overseeing the rollout of this comprehensive strategy, which aims to advance the use of photovoltaic (solar power) technology across Austria. By spearheading the creation and implementation of the ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE, the Ministry ensures that national policy, regulatory frameworks, research initiatives, and funding mechanisms support the accelerated deployment of solar energy, in alignment with Austria’s climate and renewable energy objectives.",19.0,48,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '7ae981575e185e2452d144d541d822b7725e27bc7dda501c9d8495719003ccb89584fe5e1ac83baa67ae4060497ae5e2536fae015a551dc8cdefa9b5aa17289b']"
e87db637-71f3-4134-8a02-954d1e518207,1,HUBERT FECHNER,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,Hubert Fechner is the principal author of the Austrian Photovoltaic Strategy.,8.0,41,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
316e1382-2ca7-477e-9d9f-c5f6bab0b3ba,2,LEONORE GEWESSLER,"BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE",Leonore Gewessler is the Federal Minister leading the Ministry and the political head of the photovoltaic initiative.,10.0,11,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
86b0f8da-0a86-48c8-990d-8fbbe165249b,3,LEONORE GEWESSLER,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,"Leonore Gewessler represents, promotes, and oversees the execution of the Austrian Photovoltaic Strategy as the relevant Minister.",9.0,41,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
c2727a60-8f2d-4b7f-9fd0-25cd463e97c7,4,ÖSTERREICH,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,"ÖSTERREICH (Austria) is both the creator and primary beneficiary of the ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE (Austrian Photovoltaic Strategy), which serves as the nation’s official plan for the expansion and development of photovoltaic (PV) energy. Austria is responsible for the development, execution, and continuous implementation of this comprehensive strategy, which is central to the country’s broader energy transition efforts. The Austrian Photovoltaic Strategy is designed to guide sectoral growth and foster innovation in the domestic PV sector, positioning Austria as both the geographical focus and beneficiary of the planned solar energy expansion. Through this strategy, Austria aims to achieve greater energy sovereignty and meet its national climate goals by integrating more PV systems and scaling up renewable energy generation across the country. As the central planning document governing Austria’s solar development, the strategy outlines key objectives and measures to expand PV capacity, drive technological progress, and reinforce Austria’s commitment to sustainable energy. In summary, the ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE is the driving force behind Austria’s energy policy for photovoltaics, establishing a framework for growth, innovation, and the successful integration of solar energy into the national grid.",67.0,121,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'
 '9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'
 '05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5']"
48dadaa4-1765-4d04-bab8-87e9047bf629,5,"BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE",HUBERT FECHNER,Hubert Fechner authored the strategy document on behalf of or in cooperation with the Ministry.,6.0,11,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
dbda7288-2916-410f-95d8-54283a4ce66a,6,WIEN,"BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE",Vienna is the seat of the Ministry and the publication location of the strategy.,7.0,17,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
34e20a8c-8899-486c-afa6-f1467d515bfb,7,ERNEUERBAREN-AUSBAU-GESETZ (EAG),ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,The EAG is a backbone legal act referenced and operationalized by the National Photovoltaic Strategy.,9.0,44,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
3a9025be-b2d8-4591-ba85-1fd25a4a58d2,8,INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (ÖNIP),ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,The strategy references and builds upon the PV targets and findings from the ÖNIP infrastructure plan.,8.0,40,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
566248fe-36d9-4a5b-ac41-3e78c624fc7b,9,PHOTOVOLTAIK (PV),ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,The entire strategy is centered on the expansion and central role of photovoltaics in Austria's energy transition.,10.0,43,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
4b36de6f-cfa8-479e-b021-a0839a3eefae,10,PHOTOVOLTAIK (PV),ERNEUERBAREN-AUSBAU-GESETZ (EAG),The EAG legal framework prioritizes and enables the expansion of photovoltaics.,8.0,9,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
0de6120a-0cee-4a13-9f9d-3b1a09628855,11,PHOTOVOLTAIK (PV),ÖSTERREICH,Austria aims to adopt photovoltaics at a massive scale as part of its climate and energy policy.,1.0,86,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
9bcc28a7-bb93-405d-9481-1a03b46a1c22,12,CAJETAN PERWEIN,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,Cajetan Perwein is credited for photography (foreword) in the strategy publication.,2.0,40,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
798e0770-d5e0-4b9e-b0ae-63eb3d158953,13,BMK,"BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE","BMK, which stands for BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE, is the official abbreviation and acronym for the Austrian Federal Ministry responsible for climate protection, the environment, energy, mobility, innovation, and technology. This ministry is the author and publisher of various strategies, underscoring its key role in shaping policies and driving initiatives related to its areas of competence. As the central governmental body for these critical sectors, BMK develops and implements national strategies, regulations, and frameworks to promote sustainable development, environmental protection, innovative technology, and advancements in energy and mobility.",11.0,25,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '7ae981575e185e2452d144d541d822b7725e27bc7dda501c9d8495719003ccb89584fe5e1ac83baa67ae4060497ae5e2536fae015a551dc8cdefa9b5aa17289b']"
0a7b5893-ad12-483f-81b2-a48bcabd624e,14,ÖSTERREICH,PHOTOVOLTAIK (PV),Austria is expanding the role of photovoltaics in its energy system and aims for PV to provide about 20% of its total energy needs by 2040.,9.0,86,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
5fda0a6f-e7bb-4d5e-b264-bb0025e50fec,15,ÖSTERREICH,KLIMANEUTRALITÄT 2040,"Austria (ÖSTERREICH) has established an ambitious target to achieve climate neutrality by the year 2040. This goal drives the country's policies and actions in various sectors, including its photovoltaic (PV) and broader energy strategies. Austria's commitment to climate neutrality by 2040 shapes both its current initiatives and future planning, reflecting the country's dedication to reducing greenhouse gas emissions and transitioning to sustainable energy sources. All efforts, especially in the field of renewable energy such as solar power, are aligned with reaching this milestone, making climate neutrality a central focus of Austria’s national agenda.",19.0,85,"['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b']"
ec71f566-452c-4675-a68c-be2e339f5247,16,PHOTOVOLTAIK (PV),PV-STRATEGIE,The PV-Strategie is Austria’s strategy specifically for expanding the role of photovoltaics in the national energy system.,9.0,6,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
2b800bef-6f3e-4358-a1ee-4507a36d8fb9,17,PV-STRATEGIE,ENERGIEWENDE,"The PV-Strategie supports the Energiewende, which is Austria’s broader energy transition towards renewables.",8.0,8,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
8f136cc5-5fab-48df-95e0-d1adde8690fc,18,EU-ERNEUERBAREN-RICHTLINIE (RED III),EUROPA,"RED III is a binding directive that applies to all European Union member states within Europe, including Austria.",10.0,4,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
79a96624-525f-45bc-a5f5-3b4eed51e0a2,19,ÖSTERREICH,EU-ERNEUERBAREN-RICHTLINIE (RED III),Austria is obliged to fulfill the requirements of the EU Renewable Energy Directive (RED III) as an EU member state.,9.0,84,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
afd21bac-f31e-44fe-883f-43e10808292e,20,ERNEUERBAREN-AUSBAU-GESETZ (EAG),ÖSTERREICH,"The EAG is an Austrian law that sets a legal and financial framework to support the country's renewable energy expansion—affecting consumers, producers, and markets.",10.0,87,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
