id,source,source_type,target,target_type,relation_type,modality,description,weight,combined_degree,text_unit_ids,source_supported,primary_classification,relation_type_correct,modality_correct,direction_correct,endpoints_correct,description_problem,likely_pipeline_stage,audit_notes
38aaae30-345b-449c-a1d7-f36502b38194,PHOTOVOLTAIK,TECHNOLOGY,ÖSTERREICH,GEOGRAPHIC_AREA,CONTRIBUTES_TO,EXPLICIT_FACT,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] Photovoltaics is named as a key technology in Austria's future energy supply mix.,10.0,137,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],PARTIAL,WRONG_DIRECTION_OR_ENDPOINTS,NO,PARTIAL,PARTIAL,NO,"The source states that PV contributes to Austria's future energy supply, not that PV contributes to Austria as a geographic entity.",RELATIONSHIP_ENDPOINT_SELECTION,A better target would be FUTURE_ENERGY_SUPPLY or ENERGY_MIX rather than ÖSTERREICH.
83f96aa2-16da-43bb-be18-8e0fc0c0ba48,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,POLICY,PHOTOVOLTAIK,TECHNOLOGY,UNSPECIFIED,UNSPECIFIED,"The Austrian Photovoltaic Strategy (ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE) is a guiding framework dedicated to the expansion and strategic support of photovoltaics (PHOTOVOLTAIK) in Austria, providing framework, targets, and measures to support the further expansion and integration of photovoltaics.",30.0,130,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 '05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5']",YES,DIRECTLY_SUPPORTED_BY_SOURCE,NO,NO,YES,YES,"The relationship is source-supported, but GraphRAG left both relation type and modality unspecified.",RELATIONSHIP_LABEL_EXTRACTION,The strategy explicitly provides objectives and measures for PV expansion. A suitable type would be SUPPORTS or SETS_TARGET_FOR.
ba0af85a-6483-445b-9414-a781ddea46e5,PHOTOVOLTAIK,TECHNOLOGY,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,POLICY,ASSOCIATED_WITH,EXPLICIT_FACT,[RELATION_TYPE=ASSOCIATED_WITH] [MODALITY=EXPLICIT_FACT] The Austrian Photovoltaic Strategy concerns the deployment of photovoltaics in Austria.,9.0,130,['6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a'],YES,DIRECTLY_SUPPORTED_BY_SOURCE,YES,YES,YES,YES,,NONE,The document explicitly concerns photovoltaic development. ASSOCIATED_WITH is broad but acceptable.
c9e4c4d1-659a-43c6-83bd-6804552a6017,PHOTOVOLTAIK,TECHNOLOGY,PV-ANLAGE,TECHNOLOGY,UNSPECIFIED,UNSPECIFIED,PV-Anlage (PV systems) are a primary and central form of Photovoltaik (photovoltaics) installations.,10.0,111,"['6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",YES,REASONABLE_INFERENCE_NOT_EXPLICIT,NO,NO,YES,YES,"The taxonomic statement that PV-ANLAGE is a specific form of PHOTOVOLTAIK is reasonable, but it is not expressed as a formal relationship in the source.",RELATIONSHIP_INFERENCE,A more precise controlled relationship would be INSTANCE_OR_FORM_OF rather than UNSPECIFIED.
193accbf-de49-42e5-8e40-f1aa91f9890e,ÖSTERREICH,GEOGRAPHIC_AREA,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,POLICY,UNSPECIFIED,UNSPECIFIED,The ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE (Austrian Photovoltaic Strategy) is a national policy instrument in Austria that is associated with the development and measures of Austria's photovoltaic (PV) market and provides guidelines for PV expansion in the country.,20.0,97,"['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'
 '05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5']",YES,WRONG_DIRECTION_OR_ENDPOINTS,NO,NO,NO,YES,The strategy applies to Austria; Austria does not apply to or govern the strategy in the direction shown.,RELATIONSHIP_DIRECTION_AND_LABEL,A better representation is ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE APPLIES_TO ÖSTERREICH.
0090f21b-a13b-4695-bc3d-1e48b29cd8aa,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,POLICY,ÖSTERREICH,GEOGRAPHIC_AREA,UNSPECIFIED,UNSPECIFIED,The Austrian Photovoltaic Strategy (ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE) is applicable to Austria's national PV development and pertains to Austria's national solar policy.,17.0,97,"['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",YES,DIRECTLY_SUPPORTED_BY_SOURCE,NO,NO,YES,YES,"The endpoints and direction are appropriate, but the relation type and modality are unspecified.",RELATIONSHIP_LABEL_EXTRACTION,A suitable controlled relationship is APPLIES_TO with EXPLICIT_FACT modality.
604c93cd-7c69-467b-828c-13e257b5d3d7,PHOTOVOLTAIK,TECHNOLOGY,PHOTOVOLTAIK-ERZEUGUNGSSPITZEN,CONSTRAINT,CONTRIBUTES_TO,EXPLICIT_FACT,"[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] Expansion of photovoltaics leads to production peaks, which are already challenging to fully absorb in the public grid.",9.0,93,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],YES,DIRECTLY_SUPPORTED_BY_SOURCE,YES,YES,YES,YES,"CONTRIBUTES_TO is acceptable, although CAUSES_OR_INCREASES would express the relationship more precisely.",NONE,The source explicitly discusses PV generation peaks and difficulties absorbing them in the public grid.
ee657e2c-7cc4-4b96-9c32-dff740b2f9a3,PHOTOVOLTAIK,TECHNOLOGY,PHOTOVOLTAIKANLAGEN,TECHNOLOGY,ASSOCIATED_WITH,EXPLICIT_FACT,[RELATION_TYPE=ASSOCIATED_WITH] [MODALITY=EXPLICIT_FACT] Photovoltaics is the general technology class under which photovoltaic installations are a specific deployment form.,9.0,93,['2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'],YES,REASONABLE_INFERENCE_NOT_EXPLICIT,YES,NO,YES,YES,The relationship is a reasonable taxonomic interpretation rather than an explicit source claim.,RELATIONSHIP_INFERENCE,"Photovoltaic installations are a deployment form of photovoltaics, but EXPLICIT_FACT overstates the source status."
2867e2c3-10e4-4bb9-b0eb-e10c59152541,INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (NIP),POLICY,PHOTOVOLTAIK,TECHNOLOGY,SUPPORTS,EXPLICIT_FACT,"[RELATION_TYPE=SUPPORTS] [MODALITY=EXPLICIT_FACT] The NIP identifies and supports area potentials on buildings, infrastructures, and open spaces for PV installation.",8.0,93,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],PARTIAL,OVERGENERALIZED,PARTIAL,NO,YES,YES,"The NIP supports PV planning and identifies PV potential, but the description broadly attributes building, infrastructure and open-space area potentials to the NIP.",RELATIONSHIP_DESCRIPTION_SUMMARIZATION,"The central NIP–PV connection is valid, but its stated scope is broader than the directly supporting text."
6b1c29e7-ecd4-4e1d-b658-a179c10e8b7b,ENERGIEWENDE,POLICY,PHOTOVOLTAIK,TECHNOLOGY,SUPPORTS,EXPLICIT_FACT,[RELATION_TYPE=SUPPORTS] [MODALITY=EXPLICIT_FACT] The energy transition in Austria requires the expansion of photovoltaics as a key renewable energy source.,10.0,91,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],YES,DIRECTLY_SUPPORTED_BY_SOURCE,NO,YES,YES,YES,"The source supports the statement, but REQUIRES is more accurate than SUPPORTS.",RELATIONSHIP_TYPE_SELECTION,The energy transition is described as requiring renewable-energy and photovoltaic expansion.
d9c5cfbb-3a3d-489b-b511-0cc5c58ab9ae,PHOTOVOLTAIK,TECHNOLOGY,AUSBBAUPOTENTIAL PHOTOVOLTAIK — 41 TWH BY 2040,TARGET,CONTRIBUTES_TO,EXPLICIT_FACT,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] Expansion of photovoltaics contributes to achieving the estimated technical potential of 41 TWh by 2040.,10.0,91,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],YES,REASONABLE_INFERENCE_NOT_EXPLICIT,PARTIAL,NO,YES,YES,"The source states that the estimated PV potential is 41 TWh by 2040, but does not explicitly phrase PV as contributing to its own potential.",RELATIONSHIP_INFERENCE,A more precise representation would connect the NIP or Austria to the 41 TWh target using HAS_TARGET or IDENTIFIES_POTENTIAL.
4a06e4c5-9312-4fb6-9498-d4d48192c5fb,ENERGIEGEMEINSCHAFTEN (EGS),STAKEHOLDER,PHOTOVOLTAIK,TECHNOLOGY,CONTRIBUTES_TO,EXPLICIT_FACT,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] Energy communities are identified as a basis for communal PV expansion.,10.0,91,['05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5'],YES,DIRECTLY_SUPPORTED_BY_SOURCE,YES,YES,YES,YES,,NONE,The source explicitly describes energy communities as a basis for communal photovoltaic expansion.
59f85c42-d6c4-4aae-ab21-98e13502f7dd,PHOTOVOLTAIK,TECHNOLOGY,100% BILANZIELL ERNEUERBARER STROMVERBRAUCH BIS 2030,TARGET,CONTRIBUTES_TO,EXPLICIT_FACT,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] Photovoltaics is identified as a central pillar (wesentliche Säule) for attaining the 2030 renewable electricity target.,10.0,90,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],YES,DIRECTLY_SUPPORTED_BY_SOURCE,YES,YES,YES,YES,,NONE,The source explicitly identifies photovoltaics as an important pillar for achieving the renewable-electricity objective.
439f2a04-ce2b-419e-8a6a-0adae5c1ba95,PHOTOVOLTAIK,TECHNOLOGY,"PV-STROMERZEUGUNG ERFORDERLICH — 21 TWH (ÖSTERREICH, 2030)",TARGET,CONTRIBUTES_TO,SCENARIO,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=SCENARIO] PV development is necessary to achieve the 21 TWh 2030 generation target.,10.0,89,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],YES,DIRECTLY_SUPPORTED_BY_SOURCE,YES,YES,YES,YES,,NONE,"The 21 TWh requirement for 2030 is presented within the Transition 2040 scenario, so SCENARIO is appropriate."
b2e371b8-c4d7-4d82-94fb-08a711b5b5cb,PHOTOVOLTAIK,TECHNOLOGY,DEZENTRALE NUTZUNG ERNEUERBARER ENERGIE,TECHNOLOGY,SUPPORTS,EXPLICIT_FACT,"[RELATION_TYPE=SUPPORTS] [MODALITY=EXPLICIT_FACT] PV is described as the most decentralized form of renewable power generation, supporting decentralized energy use in households and businesses.",10.0,89,['dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'],PARTIAL,REASONABLE_INFERENCE_NOT_EXPLICIT,PARTIAL,NO,YES,YES,"The source describes PV as highly decentralized, but the claim that it supports household and business energy use is a synthesized interpretation.",RELATIONSHIP_INFERENCE,"The decentralization connection is reasonable, but EXPLICIT_FACT is too strong."
cf7b63d7-0b4a-4e5d-a74a-3a8bdcaa6832,PHOTOVOLTAIK,TECHNOLOGY,PV-AUSBAU VON MINDESTENS 11 TWH BIS 2030,TARGET,CONTRIBUTES_TO,EXPLICIT_FACT,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] Photovoltaics is expected to deliver at least 11 TWh of new generation capacity by 2030 toward national targets.,9.0,89,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'],YES,OVERGENERALIZED,YES,YES,YES,YES,"The description calls 11 TWh generation capacity. TWh measures energy generation, not installed capacity.",RELATIONSHIP_DESCRIPTION_SUMMARIZATION,"The numerical target is source-supported, but the generated description confuses energy and capacity."
9040b8d8-60e3-45d6-b041-bcf8a13b2ca8,PHOTOVOLTAIK,TECHNOLOGY,KLIMANEUTRALITÄT IN ÖSTERREICH BIS 2040,TARGET,CONTRIBUTES_TO,EXPLICIT_FACT,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] Achieving climate neutrality by 2040 is associated with major PV expansion; PV is described as a central pillar of Austria's energy system in 2040.,8.0,89,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'],YES,DIRECTLY_SUPPORTED_BY_SOURCE,YES,YES,YES,YES,,NONE,The source explicitly presents PV expansion as a major component of achieving Austria's 2040 climate-neutrality objective.
