canonical_title,title,resolution_decision,resolution_notes
BUNDESLAND,BUNDESLÄNDER,MERGE_AS_ALIAS,"Confirmed spelling, abbreviation, or singular/plural alias."
"BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE (BMK)",BMK,MERGE_AS_ALIAS,BMK is the abbreviation of the complete ministry name.
"BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE (BMK)","BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE",MERGE_AS_ALIAS,Same ministry name without the BMK abbreviation.
ENERGIEGEMEINSCHAFTEN,ENERGIEGEMEINSCHAFTEN (EGS),MERGE_AS_ALIAS,"Confirmed spelling, abbreviation, or singular/plural alias."
INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (ÖNIP),INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN,MERGE_AS_ALIAS,Same plan name without an abbreviation.
INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (ÖNIP),INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (NIP),MERGE_AS_ALIAS,NIP and ÖNIP refer to the same Austrian network infrastructure plan.
INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (ÖNIP),INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (NIP/ÖNIP),MERGE_AS_ALIAS,Combined abbreviation variant of the same plan.
INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (ÖNIP),NIP,MERGE_AS_ALIAS,Short abbreviation of the same plan.
PHOTOVOLTAIK,PHOTOVOLTAIK (PV),MERGE_AS_ALIAS,"Confirmed spelling, abbreviation, or singular/plural alias."
PV-ANLAGE,FOTOVOLTAIKANLAGE,MERGE_AS_ALIAS,"Confirmed spelling, abbreviation, or singular/plural alias."
PV-ANLAGE,PHOTOVOLTAIKANLAGEN,MERGE_AS_ALIAS,"Confirmed spelling, abbreviation, or singular/plural alias."
PV-ANLAGE,PV-ANLAGEN,MERGE_AS_ALIAS,"Confirmed spelling, abbreviation, or singular/plural alias."
WOHNUNGSEIGENTUMSGESETZ-NOVELLE 2022,WOHNUNGSEIGENTUMSGESETZ (NOVELLE 2022),MERGE_AS_ALIAS,"Confirmed spelling, abbreviation, or singular/plural alias."
ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,PHOTOVOLTAIK-STRATEGIE,MERGE_AS_ALIAS,"Confirmed spelling, abbreviation, or singular/plural alias."
